Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
JX9R9KW8,journalArticle,2016,"Gaither, Sarah E.; Pauker, Kristin; Slepian, Michael L.; Sommers, Samuel R.",Social Belonging Motivates Categorization of Racially Ambiguous Faces,Social Cognition,,0278-016X,10.1521/soco.2016.34.2.97,http://guilfordjournals.com/doi/10.1521/soco.2016.34.2.97,"Categorizing racially ambiguous individuals is multifaceted, and the current work proposes social-motivational factors also exert considerable influence on how racial ambiguity is perceived, directing the resolution of ambiguity in a manner that is functionally beneficial to the perceiver. Four studies tested two motivations related to social belonging: belonging needs and racial identification. Greater need to belong and racial identification (Study 1), and two types of social belonging threats—social exclusion (Studies 2a and 2b) and racial identity threat (Study 3)—predicted more categorizations of racially ambiguous Black/White faces as Black, with White participants more likely to categorize ambiguous faces as outgroup members (i.e., Black; Studies 1, 2a, 2b, and 3) and Black participants more likely to categorize ambiguous faces as ingroup members (Study 2b). Results also demonstrated that self-affirmation mitigated this motivated categorization for Whites (Study 3), illustrating the malleability of social categorization and its dependency on serving self-relevant goals.",2016-04,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,97-118,,2,34,,Social Cognition,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/7B46UC4C/Gaither et al. - 2016 - Social Belonging Motivates Categorization of Racia.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z97G36VF,journalArticle,2017,"Abascal, Maria","Tu Casa, Mi Casa: Naturalization and Belonging among Latino Immigrants",International Migration Review,,"0197-9183, 1747-7379",10.1111/imre.12221,http://journals.sagepub.com/doi/10.1111/imre.12221,"Previous studies reach contradictory conclusions regarding the relationship between residential concentration and naturalization. This paper tackles the impasse by exploring the pathways through which immigrant communities influence individual naturalization. Specifically, this study examines naturalization among Latino immigrants using the 2006 Latino National Survey linked to county data. Multilevel model results indicate that the county concentration of naturalized co-ethnics positively predicts individual naturalization, and this relationship operates through two channels: information dissemination and perceived belonging. Regarding the latter, Latino immigrants who live among naturalized co-ethnics identify more strongly as “American,” and strength of American identification mediates nearly one-half of the relationship between concentration and naturalization.",2017-06,7/16/21 16:06,7/16/21 16:06,3/28/21 22:08,291-322,,2,51,,International Migration Review,"Tu Casa, Mi Casa",,,,,,,en,,,,,DOI.org (Crossref),,,,"/Users/gabe/Zotero/storage/NIXW2RWK/Abascal - 2017 - Tu Casa, Mi Casa Naturalization and Belonging amo.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGLAUUA2,journalArticle,2021,,No Place for Nostalgia in Science: A Response to Arkes and Tetlock,,,,,,,2021,7/16/21 16:06,7/16/21 16:06,,12,,,,,,,,,,,,,en,,,,,Zotero,,,,/Users/gabe/Zotero/storage/BNUTHSQ8/2021 - No Place for Nostalgia in Science A Response to A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ZSEJK69,book,2011,"Davis, Larry E.; Engel, Rafael J.",Measuring Race and Ethnicity,,978-1-4419-6696-4 978-1-4419-6697-1,,,http://link.springer.com/10.1007/978-1-4419-6697-1,,2011,7/16/21 16:06,7/16/21 16:06,3/26/21 0:37,,,,,,,,,,,,Springer New York,"New York, NY",en,,,,,DOI.org (Crossref),,DOI: 10.1007/978-1-4419-6697-1,,/Users/gabe/Zotero/storage/5NWSWG5Z/Davis and Engel - 2011 - Measuring Race and Ethnicity.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VW52P4UA,journalArticle,2005,"Knowles, Eric D.; Peng, Kaiping",White Selves: Conceptualizing and Measuring a Dominant-Group Identity.,Journal of Personality and Social Psychology,,"1939-1315, 0022-3514",10.1037/0022-3514.89.2.223,http://doi.apa.org/getdoi.cfm?doi=10.1037/0022-3514.89.2.223,,2005-08,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,223-241,,2,89,,Journal of Personality and Social Psychology,White Selves,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/SEQ9EUU2/Knowles and Peng - 2005 - White Selves Conceptualizing and Measuring a Domi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBVD35NZ,journalArticle,2018,"Cooley, Erin; Brown-Iannuzzi, Jazmin L.; Brown, Christia Spears; Polikoff, Jack",Black Groups Accentuate Hypodescent by Activating Threats to the Racial Hierarchy,Social Psychological and Personality Science,,"1948-5506, 1948-5514",10.1177/1948550617708014,http://journals.sagepub.com/doi/10.1177/1948550617708014,"One reason White people categorize Black–White Biracial people as Black (called hypodescent) is to maintain the existing racial hierarchy. By creating a strict definition of who can be White, the selectivity, and thus status, of White people increases. Given that racial hierarchies are about the relative status of groups, we test whether perceiving Black groups increases hypodescent by activating fears about shifts in the racial hierarchy (i.e., a majority/minority shift). Indeed, White people rated (Study 1) and stereotyped (Study 4) Black–White Biracial people as more Black in Black groups (but not White groups; Study 2) than when alone. Critically, this pattern was driven by White people relatively high in fear of a majority/minority shift (Study 3a) or those experimentally led to feel this threat (Study 3b). We conclude that Black groups increase hypodescent by activating fears about shifts in the racial hierarchy, posing consequences for racial stereotyping.",2018-05,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,411-418,,4,9,,Social Psychological and Personality Science,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/PLKCP9F8/Cooley et al. - 2018 - Black Groups Accentuate Hypodescent by Activating .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRVLXBZ3,journalArticle,2012,"Chen, Jacqueline M.; Hamilton, David L.",Natural ambiguities: Racial categorization of multiracial individuals,Journal of Experimental Social Psychology,,221031,10.1016/j.jesp.2011.10.005,https://linkinghub.elsevier.com/retrieve/pii/S0022103111002484,"Understanding the perception of multiracial persons is increasingly important in today's diverse society. The present research investigated the process of categorizing multiracial persons as “Multiracial.” We hypothesized that perceivers would make fewer Multiracial categorizations of multiracials and that these categorizations would take longer than monoracial categorizations. We found support for these hypotheses across six experiments. Experiment 1 demonstrated that perceivers did not categorize morphed Black–White faces as Multiracial with the same frequency with which they categorized Black and White faces as Black and White (respectively), and that categorizations of multiracials as Multiracial took longer than monoracial categorizations. Experiment 2 replicated and extended these effects to real Black–White faces. Experiment 3 showed that these ﬁndings generalized to Asian–White faces. We used pixel variance analysis to show that these effects were not due to increased variance among Multiracial faces. The image analysis showed that the Black–White morphs and real biracials were actually less varied than either the Black or White sets of faces. Experiments 4 and 5 demonstrated that cognitive load and time constraints detrimentally affected multiracial, but not monoracial, categorizations. Experiment 6 showed that imbuing monoracial categories with importance decreases the use of the Multiracial category. Implications of these ﬁndings for understanding perceptions of multiracial persons are discussed.",2012-01,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,152-164,,1,48,,Journal of Experimental Social Psychology,Natural ambiguities,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/LMTJYB85/Chen and Hamilton - 2012 - Natural ambiguities Racial categorization of mult.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DPSQ2IK,journalArticle,2011,"Freeman, Jonathan B.; Penner, Andrew M.; Saperstein, Aliya; Scheutz, Matthias; Ambady, Nalini",Looking the Part: Social Status Cues Shape Race Perception,PLoS ONE,,1932-6203,10.1371/journal.pone.0025107,https://dx.plos.org/10.1371/journal.pone.0025107,"It is commonly believed that race is perceived through another’s facial features, such as skin color. In the present research, we demonstrate that cues to social status that often surround a face systematically change the perception of its race. Participants categorized the race of faces that varied along White–Black morph continua and that were presented with highstatus or low-status attire. Low-status attire increased the likelihood of categorization as Black, whereas high-status attire increased the likelihood of categorization as White; and this influence grew stronger as race became more ambiguous (Experiment 1). When faces with high-status attire were categorized as Black or faces with low-status attire were categorized as White, participants’ hand movements nevertheless revealed a simultaneous attraction to select the other race-category response (stereotypically tied to the status cue) before arriving at a final categorization. Further, this attraction effect grew as race became more ambiguous (Experiment 2). Computational simulations then demonstrated that these effects may be accounted for by a neurally plausible person categorization system, in which contextual cues come to trigger stereotypes that in turn influence race perception. Together, the findings show how stereotypes interact with physical cues to shape person categorization, and suggest that social and contextual factors guide the perception of race.",9/26/11,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,e25107,,9,6,,PLoS ONE,Looking the Part,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/EHSXKR94/Freeman et al. - 2011 - Looking the Part Social Status Cues Shape Race Pe.pdf,,,,"Gilbert, Sam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP9C2A3T,journalArticle,2013,"Ho, Arnold K.; Sidanius, Jim; Cuddy, Amy J.C.; Banaji, Mahzarin R.",Status boundary enforcement and the categorization of black–white biracials,Journal of Experimental Social Psychology,,221031,10.1016/j.jesp.2013.04.010,https://linkinghub.elsevier.com/retrieve/pii/S0022103113000966,"Individuals who qualify equally for membership in more than one racial group are not judged as belonging equally to both of their parent groups, but instead are seen as belonging more to their lower status parent group. Why? The present paper begins to establish the role of individual differences and social context in hypodescent, the process of assigning multiracials the status of their relatively disadvantaged parent group. Speciﬁcally, in two experiments, we found that individual differences in social dominance orientation—a preference for group-based hierarchy and inequality—interacts with perceptions of socioeconomic threat to inﬂuence the use of hypodescent in categorizing half-Black, half-White biracial targets. Importantly, this paper begins to establish hypodescent as a “hierarchy-enhancing” social categorization.",2013-09,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,940-943,,5,49,,Journal of Experimental Social Psychology,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/8RYSD87F/Ho et al. - 2013 - Status boundary enforcement and the categorization.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ34NTR2,journalArticle,2018,"Knowles, Eric D.; Tropp, Linda R.","The Racial and Economic Context of Trump Support: Evidence for Threat, Identity, and Contact Effects in the 2016 Presidential Election",Social Psychological and Personality Science,,"1948-5506, 1948-5514",10.1177/1948550618759326,http://journals.sagepub.com/doi/10.1177/1948550618759326,"Donald Trump’s ascent to the Presidency of the United States defied the expectations of many social scientists, pundits, and laypeople. To date, most efforts to understand Trump’s rise have focused on personality and demographic characteristics of White Americans. In contrast, the present work leverages a nationally representative sample of Whites to examine how contextual factors may have shaped support for Trump during the 2016 presidential primaries. Results reveal that neighborhood-level exposure to racial and ethnic minorities predicts greater group threat and racial identification among Whites as well as greater intentions to vote for Trump in the general election. At the same time, however, neighborhood diversity afforded Whites with opportunities for intergroup contact, which predicted lower levels of threat, White identification, and Trump support. Further analyses suggest that a healthy local economy mutes threat effects in diverse contexts, allowing contact processes to come to the fore.",2018-04,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,275-284,,3,9,,Social Psychological and Personality Science,The Racial and Economic Context of Trump Support,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/9MR5PAJK/Knowles and Tropp - 2018 - The Racial and Economic Context of Trump Support .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8CC7SUK2,journalArticle,2018,"Chen, Jacqueline M.; de Paula Couto, Maria Clara P.; Sacco, Airi M.; Dunham, Yarrow",To Be or Not to Be (Black or Multiracial or White): Cultural Variation in Racial Boundaries,Social Psychological and Personality Science,,"1948-5506, 1948-5514",10.1177/1948550617725149,http://journals.sagepub.com/doi/10.1177/1948550617725149,"Culture shapes the meaning of race and, consequently, who is placed into which racial categories. Three experiments conducted in the United States and Brazil illustrated the cultural nature of racial categorization. In Experiment 1, a target’s racial ancestry influenced Americans’ categorizations but had no impact on Brazilians’ categorizations. Experiment 2 showed cultural differences in the reliance on two phenotypic cues to race; Brazilians’ categorizations were more strongly determined by skin tone than were Americans’ categorizations, and Americans’ categorizations were more strongly determined by other facial features compared to Brazilians’ categorizations. Experiment 3 demonstrated cultural differences in the motivated use of racial categories. When the racial hierarchy was threatened, only Americans more strictly enforced the Black–White racial boundary. Cultural forces shape the conceptual, perceptual, and ideological construal of racial categories.",2018-09,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,763-772,,7,9,,Social Psychological and Personality Science,To Be or Not to Be (Black or Multiracial or White),,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/SSGZMK2N/Chen et al. - 2018 - To Be or Not to Be (Black or Multiracial or White).pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKB3W8B8,journalArticle,2017,"Hinzman, Lindsay; Maddox, Keith B.",Conceptual and visual representations of racial categories: Distinguishing subtypes from subgroups,Journal of Experimental Social Psychology,,221031,10.1016/j.jesp.2016.12.012,https://linkinghub.elsevier.com/retrieve/pii/S0022103116303298,"While much of the person perception literature has focused solely on the representation of superordinate social categories (e.g., race and age), these superordinate social categories may be organized into smaller subcategories (i.e., subtypes and subgroups) that can be distinguished by their perceived typicality. Based on the logic that atypical subcategories represent subtypes and typical subcategories represent subgroups, we hypothesized that some subcategory labels would elicit greater perceived stereotypicality compared to others. In Experiment 1, participants listed stereotypic traits and rated the perceived typicality of subcategories of Black and White men. In Experiment 2 we used a reverse correlation image classiﬁcation procedure to estimate participants' visual representations of the faces of Black and White superordinate category and subcategory members. Results indicated that representations of Black subgroups reﬂected traits and features more prototypical of Black men compared to representations of Black subtypes. Similarly, representations of White subgroups reﬂected traits and features more prototypical of White men compared to representations of White subtypes. The current experiments further clarify the nature of subcategory representations as subgroups and subtypes within the superordinate category. Implications for stereotype maintenance and change are considered.",2017-05,7/16/21 16:06,7/16/21 16:06,3/26/21 0:09,95-109,,,70,,Journal of Experimental Social Psychology,Conceptual and visual representations of racial categories,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/gabe/Zotero/storage/44Q2LB77/Hinzman and Maddox - 2017 - Conceptual and visual representations of racial ca.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
